Course ID,Dept Cd,Major Disproportionate Impact,URM Disproportionate Impact,First Gen Disproportionate Impact, Gender Disproportionate Impact,Transfer Disproportionate Impact,N,N Qtrs w/Enrollment,Count of DFW Grades,% DFW,Avg. End Waitlist Count/Qtr,Avg. N Students Affected/Offering,N Courses Blocked ,Max. Complexity,Impact Index 
AAS10,BIOL,,,,,,99,8,3,3%,2,2,,,0
AAS10,CHEM,,,,,,20,8,0,0%,2,2,,,0
AAS10,COGS,,,,,,23,8,2,9%,2,2,,,0
AAS10,ECON,,,,,,50,8,3,6%,2,2,,,0
AAS10,MAE,,,,,,20,8,1,5%,2,2,,,0
AAS10,MATH,,,,,,42,8,1,2%,2,2,,,0
AAS10,POLI,,,,,,29,8,1,3%,2,2,,,0
AAS10,PSYC,,,,,,51,8,2,4%,2,2,,,0
AAS11,BIOL,,,,,,21,2,0,0%,0,0,,,0
AIP197,BIOL,,,,,,124,9,2,2%,0,0,,,0
AIP197,CHEM,,,,,,31,9,0,0%,0,0,,,0
AIP197,COGS,,,,,,80,9,0,0%,0,0,,,0
AIP197,COMM,,,,,,40,8,0,0%,0,0,,,0
AIP197,CSE,,,,,,76,8,2,3%,0,0,,,0
AIP197,DSC,,,,,,44,7,0,0%,0,0,,,0
AIP197,ECON,,,,,,49,9,0,0%,0,0,,,0
AIP197,MATH,,,,,,53,9,1,2%,0,0,,,0
AIP197,PSYC,,,,,,34,9,1,3%,0,0,,,0
AIP197,VIS,,,,,,28,6,0,0%,0,0,,,0
AIP197DC,POLI,,,,,,67,9,0,0%,0,0,,,0
AIP197P,COGS,,,,,,21,3,2,10%,0,1,,,0
AIP197P,POLI,,,,,,20,6,0,0%,0,0,,,0
AIP197P,PSYC,,,,,,35,4,1,3%,0,0,,,0
AIP197P,SPH,,,,,,20,3,0,0%,0,0,,,0
ANAR100,ANTH,,,,,,20,4,3,15%,0,1,,,0
ANAR104,ANTH,,,,,,39,5,3,8%,1,2,,,0
ANAR111,ANTH,,,,,,23,2,1,4%,0,1,,,0
ANAR115,ANTH,,,,,,20,2,0,0%,0,0,,,0
ANAR120,ANTH,,,,,,42,5,6,14%,0,1,,,0
ANAR121,ANTH,,,,,,24,3,2,8%,0,1,,,0
ANAR143,ANTH,,,,,,25,2,1,4%,0,1,,,0
ANAR146,ANTH,,,,,,30,1,1,3%,0,1,,,1
ANAR146R,No major,,,,,,40,1,6,15%,0,6,,,6
ANAR146R,ANTH,,,,,,25,1,4,16%,0,4,,,4
ANAR146R,BIOL,,,,,,32,1,0,0%,0,0,,,0
ANAR156,ANTH,,,,,,30,2,1,3%,0,1,,,0
ANAR164,ANTH,,,,,,55,3,6,11%,1,3,,,1
ANAR166,ANTH,,,,,,27,2,4,15%,0,2,,,1
ANBI100,ANTH,,,,,,35,3,0,0%,1,1,,,0
ANBI100,BIOL,,,,,,37,3,0,0%,1,1,,,0
ANBI111,ANTH,,,,,,25,3,4,16%,0,1,,,0
ANBI112,BIOL,,,,,,40,3,0,0%,2,2,,,1
ANBI116,ANTH,,,,,,73,2,2,3%,1,2,,,1
ANBI116,BIOL,,,,,,48,2,0,0%,1,1,,,1
ANBI116,GLBH,,,,,,49,2,2,4%,1,2,,,1
ANBI116,HDS,,,,,,35,2,3,9%,1,3,,,1
ANBI116,PSYC,,,,,,20,2,0,0%,1,1,,,1
ANBI118,ANTH,,,,,,21,2,1,5%,0,1,,,0
ANBI131,ANTH,,,,,,38,2,2,5%,0,1,,,1
ANBI131,BIOL,,,,,,51,2,3,6%,0,2,,,1
ANBI131,GLBH,,,,,,45,2,7,16%,0,4,,,2
ANBI136,ANTH,,,,,,20,3,2,10%,2,3,,,1
ANBI136,BIOL,,,,,,26,3,2,8%,2,3,,,1
ANBI139,ANTH,,,,,,39,1,4,10%,0,4,,,4
ANBI139,BIOL,,,,,,56,1,1,2%,0,1,,,1
ANBI139,GLBH,,,,,,41,1,1,2%,0,1,,,1
ANBI140,BIOL,,,,,,25,2,2,8%,4,5,,,3
ANBI141,ANTH,,,,,,96,3,1,1%,0,0,,,0
ANBI141,BIOL,,,,,,153,3,1,1%,0,0,,,0
ANBI141,GLBH,,,,,,162,3,12,7%,0,4,,,1
ANBI143,ANTH,,,,,,56,3,1,2%,1,1,,,0
ANBI143,BIOL,,,,,,28,3,0,0%,1,1,,,0
ANBI144,ANTH,,,,,,60,3,8,13%,0,3,,,1
ANBI144,BIOL,,,,,,51,3,3,6%,0,1,,,0
ANBI145,ANTH,,,,,,45,3,8,18%,0,3,,,1
ANBI173,ANTH,,,,,,25,2,3,12%,2,4,,,2
ANBI173,HDS,,,,,,24,2,1,4%,2,3,,,1
ANBI175,ANTH,,,,,,35,3,8,23%,0,3,,,1
ANSC100,ANTH,,,,,,26,4,2,8%,0,1,,,0
ANSC101,HDS,,,,,,28,3,1,4%,1,1,,,0
ANSC101,SPH,,,,,,23,3,0,0%,1,1,,,0
ANSC101A,INTL,,,,,,77,1,5,6%,0,5,,,5
ANSC105,SPH,,,,,,22,2,0,0%,1,1,,,1
ANSC121,ANTH,,,,,,43,3,4,9%,3,4,,,1
ANSC121,GLBH,,,,,,34,3,0,0%,3,3,,,1
ANSC122,ANTH,,,,,,20,3,4,20%,0,1,,,0
ANSC124,ANTH,,,,,,33,3,4,12%,0,1,,,0
ANSC125,ANTH,,,,,,57,3,3,5%,0,1,,,0
ANSC125,HDS,,,,,,33,3,1,3%,0,0,,,0
ANSC125,PSYC,,,,,,26,3,0,0%,0,0,,,0
ANSC135,INTL,,,,,,57,3,5,9%,0,2,,,1
ANSC137,INTL,,,,,,38,3,2,5%,3,4,,,1
ANSC142,INTL,,,,,,34,2,6,18%,3,6,,,3
ANSC147,SPH,,,,,,26,3,4,15%,0,1,,,0
ANSC148,ANTH,,,,,,53,9,7,13%,3,4,,,0
ANSC148,BIOL,,,,,,54,9,0,0%,3,3,,,0
ANSC148,GLBH,,,,,,47,9,5,11%,3,4,,,0
ANSC148,SPH,,,,,,88,9,5,6%,3,4,,,0
ANSC150,ANTH,,,,,Y,25,3,6,24%,0,2,,,1
ANSC150,SPH,,,,,,31,3,1,3%,0,0,,,0
ANSC164,ANTH,,,,,,33,4,5,15%,1,2,,,1
ANSC164,BIOL,,,,,,26,4,0,0%,1,1,,,0
ANSC164,GLBH,,,,,,29,4,3,10%,1,2,,,0
ANSC164,SPH,,,,,,21,3,4,19%,1,2,,,1
ANSC175,ANTH,,,,,,21,2,2,10%,0,1,,,1
ANSC186,ANTH,,,,,,20,3,1,5%,3,3,,,1
ANSC190,ANTH,,,,,,20,2,2,10%,0,1,,,1
ANSC193,ANTH,,,,,,31,2,2,6%,0,1,,,1
ANTH1,ANTH,,,,,,24,3,0,0%,0,0,,,0
ANTH1,BIOL,,,,,,71,3,5,7%,0,2,,,1
ANTH1,INTL,,,,,,21,3,1,5%,0,0,,,0
ANTH1,PSYC,,,,,,32,3,3,9%,0,1,,,0
ANTH1,UNAF,,,,,,36,3,1,3%,0,0,,,0
ANTH1,VIS,,,,,,21,3,4,19%,0,1,,,0
ANTH10,ANTH,,,,,,26,6,0,0%,3,3,,,1
ANTH10,BIOL,,,,,,121,6,7,6%,3,4,,,1
ANTH10,CHEM,,,,,,37,6,0,0%,3,3,,,1
ANTH10,COGS,,,,,,26,6,1,4%,3,3,,,1
ANTH10,ECON,,,,,,56,5,1,2%,3,3,,,1
ANTH10,ESYS,,,,,,31,6,0,0%,3,3,,,1
ANTH10,INTL,,,,,,25,6,3,12%,3,4,,,1
ANTH10,MATH,,,,,,26,6,2,8%,3,3,,,1
ANTH10,POLI,,,,,,36,6,3,8%,3,4,,,1
ANTH10,PSYC,,,,,,57,6,3,5%,3,4,,,1
ANTH10,SIO,,,,,,34,6,0,0%,3,3,,,1
ANTH10,UNAF,,,,,,26,5,4,15%,3,4,,,1
ANTH101,ANTH,,,,,,187,3,18,10%,1,7,0.0,1.0,2
ANTH101,BIOL,,,,,,28,3,4,14%,1,2,,,1
ANTH102,ANTH,,,,,,188,3,4,2%,0,1,0.0,1.0,0
ANTH102,BIOL,,,,,,29,3,0,0%,0,0,,,0
ANTH102,HDS,,,,,,27,3,0,0%,0,0,,,0
ANTH103,ANTH,,,,,,192,3,14,7%,0,5,0.0,1.0,2
ANTH105,BIOL,,,,,,28,4,2,7%,2,3,,,1
ANTH106,ANTH,,,,,,20,3,2,10%,0,1,,,0
ANTH107,ANTH,,,,,,26,3,3,12%,0,1,,,0
ANTH108,ANTH,,,,,,25,3,2,8%,0,1,,,0
ANTH109,ANTH,,,,,,25,2,4,16%,0,2,,,1
ANTH110,ANTH,,,,,,33,3,0,0%,0,0,0.0,1.0,0
ANTH111,ANTH,,,,,,28,3,5,18%,0,2,,,1
ANTH128A,ANTH,,,,,,20,3,1,5%,0,0,,,0
ANTH192,ANTH,,,,,,35,3,1,3%,0,0,,,0
ANTH196A,ANTH,,,,,,28,3,1,4%,0,0,,,0
ANTH196B,ANTH,,,,,,22,3,1,5%,0,0,,,0
ANTH2,ANTH,,,,,,94,6,5,5%,3,4,0.0,1.0,1
ANTH2,BIOL,,,,,,117,6,6,5%,3,4,,,1
ANTH2,CHEM,,,,,,27,5,3,11%,3,4,,,1
ANTH2,COGS,,,,,,20,6,0,0%,3,3,,,1
ANTH2,ECON,,,,,,79,6,6,8%,3,4,,,1
ANTH2,HDS,,,,,,38,6,3,8%,3,4,,,1
ANTH2,HIST,,,,,,21,5,2,10%,3,3,,,1
ANTH2,INTL,,,,,,42,6,1,2%,3,3,,,1
ANTH2,LIT,,,,,,29,6,2,7%,3,3,,,1
ANTH2,MAE,,,,,,26,6,1,4%,3,3,,,1
ANTH2,MATH,,,,,,37,6,1,3%,3,3,,,1
ANTH2,POLI,,,,,,74,6,3,4%,3,4,,,1
ANTH2,PSYC,,,,,,103,6,5,5%,3,4,,,1
ANTH2,SOC,,,,,,35,6,1,3%,3,3,,,1
ANTH2,SPH,,,,,,35,6,3,9%,3,4,,,1
ANTH2,UNAF,,,,,,59,6,3,5%,3,4,,,1
ANTH2,USP,,,,,,22,6,5,23%,3,4,,,1
ANTH2,VIS,,,,,,40,6,6,15%,3,4,,,1
ANTH21,ANTH,,,,,,47,9,1,2%,7,7,,,1
ANTH21,BENG,,,,,,23,8,0,0%,7,7,,,1
ANTH21,BIOL,,,,,,433,9,12,3%,7,8,,,1
ANTH21,CENG,,,,,,30,7,0,0%,7,7,,,1
ANTH21,CHEM,,,,,,122,9,7,6%,7,8,,,1
ANTH21,COGS,,,,,,123,9,6,5%,7,8,,,1
ANTH21,COMM,,,,,,25,9,4,16%,7,7,,,1
ANTH21,CSE,,,,,,91,9,3,3%,7,7,,,1
ANTH21,DSC,,,,,,43,8,1,2%,7,7,,,1
ANTH21,ECE,,,,,,71,9,4,6%,7,7,,,1
ANTH21,ECON,,,,,,244,9,15,6%,7,9,,,1
ANTH21,INTL,,,,,,112,9,4,4%,7,7,,,1
ANTH21,LIT,,,,,,26,7,1,4%,7,7,,,1
ANTH21,MAE,,,,,,78,9,2,3%,7,7,,,1
ANTH21,MATH,,,,,,153,9,8,5%,7,8,,,1
ANTH21,PHYS,,,,,,22,8,2,9%,7,7,,,1
ANTH21,POLI,,,,,,112,8,3,3%,7,7,,,1
ANTH21,PSYC,,,,,,255,9,12,5%,7,8,,,1
ANTH21,SE,,,,,,53,9,2,4%,7,7,,,1
ANTH21,SIO,,,,,,49,8,0,0%,7,7,,,1
ANTH21,SOC,,,,,,37,9,7,19%,7,8,,,1
ANTH21,SPH,,,,,,38,9,2,5%,7,7,,,1
ANTH21,UNAF,,,,,,82,9,2,2%,7,7,,,1
ANTH21,VIS,,,,,,73,9,2,3%,7,7,,,1
ANTH23,ANTH,,,,,,27,7,4,15%,1,2,,,0
ANTH23,BENG,,,,,,21,6,2,10%,1,1,,,0
ANTH23,BIOL,,,,,,242,8,7,3%,1,2,,,0
ANTH23,CENG,,,,,,21,7,3,14%,1,1,,,0
ANTH23,CHEM,,,,,,65,8,1,2%,1,1,,,0
ANTH23,COGS,,,,,,53,8,1,2%,1,1,,,0
ANTH23,CSE,,,,,,44,8,3,7%,1,1,,,0
ANTH23,DSC,,,,,,26,8,1,4%,1,1,,,0
ANTH23,ECE,,,,,,35,7,1,3%,1,1,,,0
ANTH23,ECON,,,,,,75,8,1,1%,1,1,,,0
ANTH23,INTL,,,,,,53,8,3,6%,1,1,,,0
ANTH23,MAE,,,,,,45,8,3,7%,1,1,,,0
ANTH23,MATH,,,,,,101,8,6,6%,1,2,,,0
ANTH23,POLI,,,,,,57,8,3,5%,1,1,,,0
ANTH23,PSYC,,,,,,125,8,5,4%,1,2,,,0
ANTH23,SE,,,,,,29,7,4,14%,1,2,,,0
ANTH23,SIO,,,,,,32,8,2,6%,1,1,,,0
ANTH23,SPH,,,,,,41,8,0,0%,1,1,,,0
ANTH23,UNAF,,,,,,50,8,4,8%,1,2,,,0
ANTH23,VIS,,,,,,35,8,5,14%,1,2,,,0
ANTH3,ANTH,,,,,,29,3,1,3%,1,1,,,0
ANTH3,BIOL,,,,,,29,3,1,3%,1,1,,,0
ANTH4,BIOL,,,,,,31,3,3,10%,0,1,,,0
ANTH4,PSYC,,,,,,20,3,2,10%,0,1,,,0
ANTH87,BIOL,,,,,,30,6,0,0%,1,1,,,0
AWP3,BENG,,,,,,24,7,5,21%,1,2,,,0
AWP3,BIOL,,,,,,565,9,29,5%,1,4,,,0
AWP3,CENG,,,,,,49,5,4,8%,1,2,,,0
AWP3,CHEM,,,,,,164,9,10,6%,1,2,,,0
AWP3,COGS,,,,,,122,9,9,7%,1,2,,,0
AWP3,COMM,,,,,,39,6,6,15%,1,2,,,0
AWP3,CSE,,,,,,81,9,5,6%,1,2,,,0
AWP3,DSC,,,,,,74,7,6,8%,1,2,,,0
AWP3,ECE,,,,,,124,9,18,15%,1,3,,,0
AWP3,ECON,,,,,,385,9,22,6%,1,3,,,0
AWP3,EDS,,,,,,29,8,3,10%,1,1,,,0
AWP3,ESYS,,,,,,33,7,1,3%,1,1,,,0
AWP3,HDS,,,,,,24,6,2,8%,1,1,,,0
AWP3,INTL,,,,,,133,9,12,9%,1,2,,,0
AWP3,LIT,,,,,,20,7,3,15%,1,1,,,0
AWP3,MAE,,,,,,127,9,15,12%,1,3,,,0
AWP3,MATH,,,,,,253,8,18,7%,1,3,,,0
AWP3,MUS,,,,,,23,7,4,17%,1,2,,,0
AWP3,PHYS,,,,,,30,6,1,3%,1,1,,,0
AWP3,POLI,,,,,,99,9,8,8%,1,2,,,0
AWP3,PSYC,,,,,,333,9,27,8%,1,4,,,0
AWP3,SE,,,,,,91,8,7,8%,1,2,,,0
AWP3,SIO,,,,,,44,7,3,7%,1,1,,,0
AWP3,SOC,,,,,,61,8,6,10%,1,2,,,0
AWP3,SPH,,,,,,78,7,3,4%,1,1,,,0
AWP3,UNAF,,,,,,345,9,38,11%,1,5,,,1
AWP3,USP,,,,,,37,7,3,8%,1,1,,,0
AWP3,VIS,,,,,,103,9,15,15%,1,3,,,0
AWP4A,BIOL,,,,,,251,8,16,6%,9,11,,,1
AWP4A,CHEM,,,,,,81,6,4,5%,9,10,,,2
AWP4A,COGS,,,,,,49,8,1,2%,9,9,,,1
AWP4A,COMM,,,,,,25,6,1,4%,9,9,,,2
AWP4A,CSE,,,,,,30,5,1,3%,9,9,,,2
AWP4A,DSC,,,,,,30,4,0,0%,9,9,,,2
AWP4A,ECE,,,,,,56,6,2,4%,9,9,,,2
AWP4A,ECON,,,,,,211,8,7,3%,9,10,,,1
AWP4A,INTL,,,,,,66,7,2,3%,9,9,,,1
AWP4A,MAE,,,,,,44,6,3,7%,9,10,,,2
AWP4A,MATH,,,,,,154,8,12,8%,9,11,,,1
AWP4A,POLI,,,,,,56,7,4,7%,9,10,,,1
AWP4A,PSYC,,,,,,177,8,7,4%,9,10,,,1
AWP4A,SE,,,,,,37,6,1,3%,9,9,,,2
AWP4A,SIO,,,,,,36,6,2,6%,9,9,,,2
AWP4A,SOC,,,,,,28,6,1,4%,9,9,,,2
AWP4A,SPH,,,,,,45,6,5,11%,9,10,,,2
AWP4A,UNAF,,,,,,135,8,8,6%,9,10,,,1
AWP4A,VIS,,,,,,47,6,3,6%,9,10,,,2
AWP4B,BIOL,,,,,,218,8,7,3%,1,2,,,0
AWP4B,CHEM,,,,,,73,6,3,4%,1,2,,,0
AWP4B,COGS,,,,,,52,6,1,2%,1,1,,,0
AWP4B,COMM,,,,,,26,5,0,0%,1,1,,,0
AWP4B,CSE,,,,,,29,5,1,3%,1,1,,,0
AWP4B,DSC,,,,,,35,5,2,6%,1,1,,,0
AWP4B,ECE,,,,,,54,6,1,2%,1,1,,,0
AWP4B,ECON,,,,,,196,8,9,5%,1,2,,,0
AWP4B,INTL,,,,,,61,5,3,5%,1,2,,,0
AWP4B,MAE,,,,,,38,6,0,0%,1,1,,,0
AWP4B,MATH,,,,,,156,8,6,4%,1,2,,,0
AWP4B,POLI,,,,,,48,6,3,6%,1,2,,,0
AWP4B,PSYC,,,,,,173,7,5,3%,1,2,,,0
AWP4B,SE,,,,,,33,5,3,9%,1,2,,,0
AWP4B,SIO,,,,,,32,6,3,9%,1,2,,,0
AWP4B,SOC,,,,,,26,5,0,0%,1,1,,,0
AWP4B,SPH,,,,,,36,4,0,0%,1,1,,,0
AWP4B,UNAF,,,,,,104,7,10,10%,1,2,,,0
AWP4B,VIS,,,,,,42,5,2,5%,1,1,,,0
BENG1,BENG,,,,,,420,4,8,2%,0,2,10.0,17.0,9
BENG1,BIOL,,,,,,22,4,2,9%,0,1,,,0
BENG1,UNAF,,,,,,28,4,2,7%,0,1,,,0
BENG100,BENG,,,,,,397,4,25,6%,0,6,9.0,18.0,28
BENG102,BENG,,,,,,135,3,10,7%,0,3,8.0,17.0,19
BENG103B,BENG,,,,,,339,4,19,6%,0,5,1.0,8.0,10
BENG110,BENG,,,,,,203,3,7,3%,0,2,9.0,19.0,15
