Subject,Course,Year,Quarter,Title,Instructor,GPA,A,B,C,D,F,W,P,NP
ELWR,1,16,FA,Entry Level Writing 1,"Ajo, Frances Margaret",2.659,12.8%,41.0%,46.1%,0%,0%,0%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Curiel, Sarah Anastasia",2.758,40%,15%,25%,10%,5%,5%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Given, William Allan",2.58,6.25%,43.7%,43.7%,0%,0%,6.25%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"McCarthy, Jenna L",2.426,12.5%,27.5%,45%,5%,5%,5%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Miller, Ronald L.",2.718,25.6%,28.2%,46.1%,0%,0%,0%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Steinberg, Stacy A",2.503,17.9%,30.7%,33.3%,2.56%,7.69%,7.69%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Thompson, Tyler William",2.65,25%,35%,25%,10%,5%,0%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"To, Rose",2.744,17.5%,37.5%,42.5%,0%,0%,2.5%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Babcock, Joseph Diliberto",2.633,27.5%,35%,20%,10%,5%,2.5%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Jacobs, Jenean C",2.867,32.5%,35%,25%,5%,0%,2.5%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Krizovensky, Jaclyn A",2.342,0%,33.3%,56.4%,2.56%,0%,7.69%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Martinez, Melissa I",2.708,15%,47.5%,32.5%,2.5%,0%,2.5%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Tessier, Jillian Marie",2.868,36.8%,21.0%,28.9%,0%,2.63%,10.5%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Twohig, Niall Ivan",2.883,22.5%,42.5%,35%,0%,0%,0%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Viswanathan, Usha",3.138,30%,57.5%,12.5%,0%,0%,0%,0%,0%
ELWR,1,16,FA,Entry Level Writing 1,"Wilson, Natalie A",2.81,27.5%,37.5%,25%,7.5%,0%,2.5%,0%,0%
ELWR,2A,16,FA,Entry Level Writing 2A,"Gocsik, Karen Marie",2.893,20%,53.3%,26.6%,0%,0%,0%,0%,0%
ELWR,2A,16,FA,Entry Level Writing 2A,"Tsurska, Olena Anatoliyivn",2.563,3.33%,53.3%,36.6%,6.66%,0%,0%,0%,0%
ELWR,2A,16,FA,Entry Level Writing 2A,"Bauer, Holly Jean",2.8,28.5%,35.7%,35.7%,0%,0%,0%,0%,0%
ELWR,2A,16,FA,Entry Level Writing 2A,"Christie, Veronica Ann",2.636,17.8%,32.1%,50%,0%,0%,0%,0%,0%
ELWR,2A,16,FA,Entry Level Writing 2A,"Gonzales, Paulina Margarita",2.897,20%,56.6%,20%,0%,0%,3.33%,0%,0%
ELWR,2A,16,FA,Entry Level Writing 2A,"Thompson, Tyler William",2.807,20%,46.6%,33.3%,0%,0%,0%,0%,0%
ANAR,100,16,FA,Spec Topics/Anth Archaeology,"Somerville, Andrew D",3.489,52.1%,26.0%,0%,0%,4.34%,0%,8.69%,0%
ANAR,144,16,FA,"Pharaohs,Mummies,Pyramds:Egypt","Braswell, Geoffrey E.",2.829,35.2%,35.2%,17.6%,5.88%,5.88%,0%,0%,0%
ANBI,141,16,FA,The Evolution of Human Diet,"Schoeninger, Margaret J",3.666,52.7%,27.7%,0%,0%,0%,11.1%,8.33%,0%
ANBI,148,16,FA,"Evolution, Behavior, Ecology","Lafleur, Marni M",3.55,62.5%,37.5%,0%,0%,0%,0%,0%,0%
ANBI,159,16,FA,Biological&amp;Cult Persptv/Intell,"Beasley, Melanie Marie",3.892,88%,8%,0%,0%,0%,4%,0%,0%
ANSC,118,16,FA,Language and Culture,"Haviland, John B.",3.383,62.5%,16.6%,12.5%,4.16%,0%,0%,4.16%,0%
ANSC,121,16,FA,Psychological Anthropology,"Itzhak, Nofit",3.171,30.7%,48.7%,7.69%,0%,2.56%,7.69%,2.56%,0%
ANSC,131,16,FA,"Language, Law, Social Justice","Haviland, John B.",3.317,40.9%,36.3%,0%,0%,4.54%,13.6%,4.54%,0%
ANSC,155,16,FA,Humanitarian Aid,"Varma, Saiba",3.657,83.3%,10%,6.66%,0%,0%,0%,0%,0%
ANSC,159,16,FA,Anthropology of Marriage,"Brenner, Suzanne A",3.8,68.7%,12.5%,0%,0%,0%,6.25%,12.5%,0%
ANSC,176,16,FA,Critical Military Studies,"Pedersen, David",3.436,69.2%,7.69%,0%,0%,7.69%,7.69%,7.69%,0%
ANSC,180,16,FA,Labor&#39;s Relations,"Hankins, Joseph D.",3.274,30%,55%,10%,0%,0%,0%,5%,0%
ANSC,181,16,FA,Animal Affairs,"Hankins, Joseph D.",3.5,50%,41.6%,0%,0%,0%,0%,8.33%,0%
ANTH,2,16,FA,Human Origins,"Beasley, Melanie Marie",3.152,38.2%,29.9%,12.1%,1.91%,1.91%,3.82%,10.8%,1.27%
ANTH,21,16,FA,Race and Racisms,"Klimova, Julia Germanovna",3.415,38.9%,36.7%,1.45%,0%,0.72%,0.36%,21.0%,0.72%
ANTH,23,16,FA,Debating Multiculturalism,"Itzhak, Nofit",3.033,27.4%,34.0%,11.3%,1.46%,2.56%,1.09%,19.0%,2.93%
ANTH,23,16,FA,Debating Multiculturalism,"Stewart, Alexander B",3.619,50.9%,20.2%,0.73%,0.36%,0%,2.95%,23.9%,0.73%
ANTH,101,16,FA,Foundations/Social Complexity,"Goldstein, Paul S",3.362,34.5%,38.3%,3.73%,0%,0%,10.2%,13.0%,0%
BENG,2,16,FA,Intro Computer Prog &amp; MATLAB,"Wheeler, Bruce Christopher",3.303,50%,35.2%,11.7%,0%,0%,2.94%,0%,0%
